City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,hilo,19.7297,-155.09,302.19,76,75,2.57,US,1697682499
351,nar'yan-mar,67.6713,53.087,274.32,89,100,4.02,RU,1697682686
352,kumagunnam,13.1551,10.6342,300.46,19,70,3.95,NG,1697682957
353,taltal,-25.4,-70.4833,290.8,66,0,1.57,CL,1697682957
354,aswan,24.0934,32.907,293.76,40,0,2.06,EG,1697682685
355,boguchany,58.3814,97.4531,275.29,79,94,1.34,RU,1697682957
356,shumikha,55.2261,63.2961,275.34,70,2,6.06,RU,1697682958
357,moeiwadi,16.3894,104.1572,300.91,69,100,0.57,TH,1697682958
358,mahina,-17.5065,-149.489,299.02,78,75,4.63,PF,1697682654
359,amos,48.5669,-78.1162,281.2,75,100,3.02,CA,1697682958
360,tura,25.5198,90.2201,296.52,77,0,0.52,IN,1697682336
361,saint-denis,48.9167,2.3333,289.58,88,100,5.66,FR,1697682958
